Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Factor Value[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Factor Value[Time of Sample Collection After Treatment]	Unit	Term Source REF	Term Accession Number	Characteristics[stratification exposure]	Unit	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
t_vs_t0_sog1-1_rep1_10min	GSM3082855	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_10min	GSM3082856	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	10	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_20min	GSM3082857	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_20min	GSM3082858	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_45min	GSM3082859	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	45	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_45min	GSM3082860	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	45	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_1h30min	GSM3082861	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_1h30min	GSM3082862	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_3h	GSM3082863	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	180	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_3h	GSM3082864	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	180	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_6h	GSM3082865	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	360	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_6h	GSM3082866	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	360	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_12h	GSM3082867	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	720	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_12h	GSM3082868	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	720	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep1_24h	GSM3082869	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
t_vs_t0_sog1-1_rep2_24h	GSM3082870	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	mixed Landsberg erecta (Ler)/Col background	GLDS	https://genelab-data.ndc.nasa.gov/	sog1-1	GLDS	https://genelab-data.ndc.nasa.gov/	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	"Dr. Anne Britt, Department of Plant Biology, University of California, Davis, CA"	Cobalt-60 gamma radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000052	1440	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	3	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	growth protocol	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Percival growth cabinet	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	half Murashige and Skoog media with 0.6% plant agar	24 light	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100	micromole per square meter per second	GLDS	https://genelab-data.ndc.nasa.gov/	irradiation protocol	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
